domain,ip,http_status,http_title,whois_info,source_file
nsrl.bnl.gov,98.83.235.92,200,NSRL PETRA,"CIDR:           98.80.0.0/12; NetName:        AMAZO-4; OriginAS:; Organization:   Amazon.com, Inc. (AMAZO-4); CIDR:           98.80.0.0/13; NetName:        AMAZON-IAD; OriginAS:; Organization:   Amazon Data Services Northern Virginia (ADSN-1)",outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
nsrl.bnl.gov,13.219.6.124,200,NSRL PETRA,"CIDR:           13.200.0.0/13, 13.224.0.0/12, 13.208.0.0/12; NetName:        AT-88-Z; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z); CIDR:           13.216.0.0/13; NetName:        AMAZON-IAD; OriginAS:; Organization:   Amazon Data Services Northern Virginia (ADSN-1)",outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
nsrl.bnl.gov,54.86.210.79,200,NSRL PETRA,CIDR:           54.64.0.0/11; NetName:        AMAZON-2011L; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
nsrl.bnl.gov,23.22.144.44,200,NSRL PETRA,"CIDR:           23.20.0.0/14; NetName:        AMAZON-EC2-USEAST-10; OriginAS:; Organization:   Amazon.com, Inc. (AMAZO-4); CIDR:           23.20.0.0/14; NetName:        AMAZON-IAD; OriginAS:; Organization:   Amazon Data Services Northern Virginia (ADSN-1)",outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
nsrl.bnl.gov,34.236.206.116,200,NSRL PETRA,CIDR:           34.192.0.0/10; NetName:        AT-88-Z; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
nsrl.bnl.gov,54.160.71.8,200,NSRL PETRA,"CIDR:           54.144.0.0/12, 54.216.0.0/14, 54.192.0.0/12, 54.160.0.0/11, 54.208.0.0/13, 54.220.0.0/15; NetName:        AMAZON; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z)",outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
nm.itd.bnl.gov,130.199.4.15,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
cache3.bnl.gov,130.199.3.23,503,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
stargw4.starp.bnl.gov,130.199.60.74,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
inv01.sdcc.bnl.gov,130.199.6.7,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
